L,w,w_cubic,alpha,num_vert,num_hori,strain,stress
1.6,0.4,0.064,1.0471976,4.0,2.0,0.8333333333333334,0.49510178
1.6,0.4,0.064,1.0471976,4.0,2.0,0.8666666666666667,0.5179294
1.6,0.4,0.064,1.0471976,4.0,2.0,0.9,0.54222316
1.6,0.4,0.064,1.0471976,4.0,2.0,0.9333333333333333,0.56775635
1.6,0.4,0.064,1.0471976,4.0,2.0,0.9666666666666667,0.5941977
1.6,0.4,0.064,1.0471976,4.0,2.0,1.0,0.6211295
2.0,0.3,0.027,1.134464,3.0,2.0,0.03333333333333333,0.014648383
2.0,0.3,0.027,1.134464,3.0,2.0,0.06666666666666667,0.027884122
2.0,0.3,0.027,1.134464,3.0,2.0,0.1,0.03888804
2.0,0.3,0.027,1.134464,3.0,2.0,0.13333333333333333,0.047581747
2.0,0.3,0.027,1.134464,3.0,2.0,0.16666666666666666,0.05435599
2.0,0.3,0.027,1.134464,3.0,2.0,0.2,0.05968349
2.0,0.3,0.027,1.134464,3.0,2.0,0.23333333333333334,0.063998364
2.0,0.3,0.027,1.134464,3.0,2.0,0.26666666666666666,0.0677907
2.0,0.3,0.027,1.134464,3.0,2.0,0.3,0.071611434
2.0,0.3,0.027,1.134464,3.0,2.0,0.3333333333333333,0.076010406
2.0,0.3,0.027,1.134464,3.0,2.0,0.36666666666666664,0.08152545
2.0,0.3,0.027,1.134464,3.0,2.0,0.4,0.08864363
2.0,0.3,0.027,1.134464,3.0,2.0,0.43333333333333335,0.09782667
2.0,0.3,0.027,1.134464,3.0,2.0,0.4666666666666667,0.10953088
2.0,0.3,0.027,1.134464,3.0,2.0,0.5,0.12412679
2.0,0.3,0.027,1.134464,3.0,2.0,0.5333333333333333,0.14181118
2.0,0.3,0.027,1.134464,3.0,2.0,0.5666666666666667,0.16254534
2.0,0.3,0.027,1.134464,3.0,2.0,0.6,0.18628436
2.0,0.3,0.027,1.134464,3.0,2.0,0.6333333333333333,0.2130611
2.0,0.3,0.027,1.134464,3.0,2.0,0.6666666666666666,0.24242413
2.0,0.3,0.027,1.134464,3.0,2.0,0.7,0.2732063
2.0,0.3,0.027,1.134464,3.0,2.0,0.7333333333333333,0.30424145
2.0,0.3,0.027,1.134464,3.0,2.0,0.7666666666666666,0.3349396
2.0,0.3,0.027,1.134464,3.0,2.0,0.8,0.3653776
2.0,0.3,0.027,1.134464,3.0,2.0,0.8333333333333334,0.39561564
2.0,0.3,0.027,1.134464,3.0,2.0,0.8666666666666667,0.42482087
2.0,0.3,0.027,1.134464,3.0,2.0,0.9,0.4519743
2.0,0.3,0.027,1.134464,3.0,2.0,0.9333333333333333,0.47668442
2.0,0.3,0.027,1.134464,3.0,2.0,0.9666666666666667,0.49908254
2.0,0.3,0.027,1.134464,3.0,2.0,1.0,0.519926
2.2,0.3,0.027,1.134464,4.0,4.0,0.03333333333333333,0.014525959
2.2,0.3,0.027,1.134464,4.0,4.0,0.06666666666666667,0.026415052
2.2,0.3,0.027,1.134464,4.0,4.0,0.1,0.03533353
2.2,0.3,0.027,1.134464,4.0,4.0,0.13333333333333333,0.04110367
2.2,0.3,0.027,1.134464,4.0,4.0,0.16666666666666666,0.044795062
2.2,0.3,0.027,1.134464,4.0,4.0,0.2,0.047266804
2.2,0.3,0.027,1.134464,4.0,4.0,0.23333333333333334,0.048888166
2.2,0.3,0.027,1.134464,4.0,4.0,0.26666666666666666,0.050007492
2.2,0.3,0.027,1.134464,4.0,4.0,0.3,0.05112851
2.2,0.3,0.027,1.134464,4.0,4.0,0.3333333333333333,0.05350973
2.2,0.3,0.027,1.134464,4.0,4.0,0.36666666666666664,0.057626087
2.2,0.3,0.027,1.134464,4.0,4.0,0.4,0.06356771
2.2,0.3,0.027,1.134464,4.0,4.0,0.43333333333333335,0.0720571
2.2,0.3,0.027,1.134464,4.0,4.0,0.4666666666666667,0.0833571
2.2,0.3,0.027,1.134464,4.0,4.0,0.5,0.09740523
2.2,0.3,0.027,1.134464,4.0,4.0,0.5333333333333333,0.11448921
2.2,0.3,0.027,1.134464,4.0,4.0,0.5666666666666667,0.13572143
2.2,0.3,0.027,1.134464,4.0,4.0,0.6,0.1598854
2.2,0.3,0.027,1.134464,4.0,4.0,0.6333333333333333,0.18606026
2.2,0.3,0.027,1.134464,4.0,4.0,0.6666666666666666,0.21358936
2.2,0.3,0.027,1.134464,4.0,4.0,0.7,0.24200584
2.2,0.3,0.027,1.134464,4.0,4.0,0.7333333333333333,0.2708744
2.2,0.3,0.027,1.134464,4.0,4.0,0.7666666666666666,0.29944262
2.2,0.3,0.027,1.134464,4.0,4.0,0.8,0.32689923
2.2,0.3,0.027,1.134464,4.0,4.0,0.8333333333333334,0.3531819
2.2,0.3,0.027,1.134464,4.0,4.0,0.8666666666666667,0.38183448
2.2,0.3,0.027,1.134464,4.0,4.0,0.9,0.4110955
2.2,0.3,0.027,1.134464,4.0,4.0,0.9333333333333333,0.4379791
2.2,0.3,0.027,1.134464,4.0,4.0,0.9666666666666667,0.46219838
2.2,0.3,0.027,1.134464,4.0,4.0,1.0,0.4839158
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.03333333333333333,0.0087045
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.06666666666666667,0.017350763
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.1,0.025538227
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.13333333333333333,0.033212747
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.16666666666666666,0.040652014
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.2,0.048065063
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.23333333333333334,0.055512313
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.26666666666666666,0.06302719
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.3,0.0706666
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.3333333333333333,0.07851246
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.36666666666666664,0.08655588
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.4,0.0949291
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.43333333333333335,0.103732534
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.4666666666666667,0.11315268
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.5,0.12362742
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.5333333333333333,0.13519919
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.5666666666666667,0.1477311
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.6,0.16122109
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.6333333333333333,0.1756636
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.6666666666666666,0.19116867
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.7,0.2082274
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.7333333333333333,0.22761473
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.7666666666666666,0.24894954
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.8,0.2716475
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.8333333333333334,0.29549477
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.8666666666666667,0.3202219
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.9,0.34548184
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.9333333333333333,0.37094033
2.0,0.35,0.042875,1.0471976,1.0,3.0,0.9666666666666667,0.3962765
2.0,0.35,0.042875,1.0471976,1.0,3.0,1.0,0.4213491
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.03333333333333333,0.020728184
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.06666666666666667,0.040555667
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.1,0.05916672
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.13333333333333333,0.07665172
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.16666666666666666,0.093240716
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.2,0.10879697
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.23333333333333334,0.12336889
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.26666666666666666,0.13730063
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.3,0.1505843
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.3333333333333333,0.16319217
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.36666666666666664,0.17537512
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.4,0.18751268
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.43333333333333335,0.1996576
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.4666666666666667,0.21181668
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.5,0.22416447
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.5333333333333333,0.23685695
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.5666666666666667,0.2501955
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.6,0.26494882
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.6333333333333333,0.28133926
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.6666666666666666,0.29890427
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.7,0.31757075
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.7333333333333333,0.33739763
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.7666666666666666,0.35831293
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.8,0.38015467
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.8333333333333334,0.40283734
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.8666666666666667,0.42627904
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.9,0.45030633
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.9333333333333333,0.47478706
2.0,0.45,0.091125,1.0471976,2.0,3.0,0.9666666666666667,0.5011217
2.0,0.45,0.091125,1.0471976,2.0,3.0,1.0,0.53121156
1.6,0.5,0.125,0.7853982,3.0,2.0,0.03333333333333333,0.04704
1.6,0.5,0.125,0.7853982,3.0,2.0,0.06666666666666667,0.09341276
1.6,0.5,0.125,0.7853982,3.0,2.0,0.1,0.13862805
1.6,0.5,0.125,0.7853982,3.0,2.0,0.13333333333333333,0.18222235
1.6,0.5,0.125,0.7853982,3.0,2.0,0.16666666666666666,0.22378848
1.6,0.5,0.125,0.7853982,3.0,2.0,0.2,0.26306033
1.6,0.5,0.125,0.7853982,3.0,2.0,0.23333333333333334,0.29991424
1.6,0.5,0.125,0.7853982,3.0,2.0,0.26666666666666666,0.3343082
1.6,0.5,0.125,0.7853982,3.0,2.0,0.3,0.36626968
1.6,0.5,0.125,0.7853982,3.0,2.0,0.3333333333333333,0.39589387
1.6,0.5,0.125,0.7853982,3.0,2.0,0.36666666666666664,0.42328233
1.6,0.5,0.125,0.7853982,3.0,2.0,0.4,0.44851688
1.6,0.5,0.125,0.7853982,3.0,2.0,0.43333333333333335,0.4716767
1.6,0.5,0.125,0.7853982,3.0,2.0,0.4666666666666667,0.49287012
1.6,0.5,0.125,0.7853982,3.0,2.0,0.5,0.512227
1.6,0.5,0.125,0.7853982,3.0,2.0,0.5333333333333333,0.52986157
1.6,0.5,0.125,0.7853982,3.0,2.0,0.5666666666666667,0.54586047
1.6,0.5,0.125,0.7853982,3.0,2.0,0.6,0.5603172
1.6,0.5,0.125,0.7853982,3.0,2.0,0.6333333333333333,0.57334936
1.6,0.5,0.125,0.7853982,3.0,2.0,0.6666666666666666,0.58509076
1.6,0.5,0.125,0.7853982,3.0,2.0,0.7,0.59568673
1.6,0.5,0.125,0.7853982,3.0,2.0,0.7333333333333333,0.6052936
1.6,0.5,0.125,0.7853982,3.0,2.0,0.7666666666666666,0.61408216
1.6,0.5,0.125,0.7853982,3.0,2.0,0.8,0.622234
1.6,0.5,0.125,0.7853982,3.0,2.0,0.8333333333333334,0.6299379
1.6,0.5,0.125,0.7853982,3.0,2.0,0.8666666666666667,0.6373884
1.6,0.5,0.125,0.7853982,3.0,2.0,0.9,0.6447682
1.6,0.5,0.125,0.7853982,3.0,2.0,0.9333333333333333,0.6522079
1.6,0.5,0.125,0.7853982,3.0,2.0,0.9666666666666667,0.65976137
1.6,0.5,0.125,0.7853982,3.0,2.0,1.0,0.66740865
2.2,0.35,0.042875,1.134464,3.0,3.0,0.03333333333333333,0.014844258
2.2,0.35,0.042875,1.134464,3.0,3.0,0.06666666666666667,0.028029941
2.2,0.35,0.042875,1.134464,3.0,3.0,0.1,0.038836177
2.2,0.35,0.042875,1.134464,3.0,3.0,0.13333333333333333,0.04754026
2.2,0.35,0.042875,1.134464,3.0,3.0,0.16666666666666666,0.05473257
2.2,0.35,0.042875,1.134464,3.0,3.0,0.2,0.060975194
2.2,0.35,0.042875,1.134464,3.0,3.0,0.23333333333333334,0.06640422
2.2,0.35,0.042875,1.134464,3.0,3.0,0.26666666666666666,0.07134133
2.2,0.35,0.042875,1.134464,3.0,3.0,0.3,0.076436915
2.2,0.35,0.042875,1.134464,3.0,3.0,0.3333333333333333,0.082141906
2.2,0.35,0.042875,1.134464,3.0,3.0,0.36666666666666664,0.08891671
2.2,0.35,0.042875,1.134464,3.0,3.0,0.4,0.0972247
2.2,0.35,0.042875,1.134464,3.0,3.0,0.43333333333333335,0.10721703
2.2,0.35,0.042875,1.134464,3.0,3.0,0.4666666666666667,0.119047076
2.2,0.35,0.042875,1.134464,3.0,3.0,0.5,0.13300897
2.2,0.35,0.042875,1.134464,3.0,3.0,0.5333333333333333,0.1499867
2.2,0.35,0.042875,1.134464,3.0,3.0,0.5666666666666667,0.17033029
2.2,0.35,0.042875,1.134464,3.0,3.0,0.6,0.19330788
2.2,0.35,0.042875,1.134464,3.0,3.0,0.6333333333333333,0.21842305
2.2,0.35,0.042875,1.134464,3.0,3.0,0.6666666666666666,0.24520633
2.2,0.35,0.042875,1.134464,3.0,3.0,0.7,0.27355504
2.2,0.35,0.042875,1.134464,3.0,3.0,0.7333333333333333,0.30254525
2.2,0.35,0.042875,1.134464,3.0,3.0,0.7666666666666666,0.3315831
2.2,0.35,0.042875,1.134464,3.0,3.0,0.8,0.36406082
2.2,0.35,0.042875,1.134464,3.0,3.0,0.8333333333333334,0.3981744
2.2,0.35,0.042875,1.134464,3.0,3.0,0.8666666666666667,0.43090108
2.2,0.35,0.042875,1.134464,3.0,3.0,0.9,0.4615871
2.2,0.35,0.042875,1.134464,3.0,3.0,0.9333333333333333,0.4897725
2.2,0.35,0.042875,1.134464,3.0,3.0,0.9666666666666667,0.5152045
2.2,0.35,0.042875,1.134464,3.0,3.0,1.0,0.5386332
2.2,0.3,0.027,1.2217305,4.0,3.0,0.03333333333333333,0.011604147
2.2,0.3,0.027,1.2217305,4.0,3.0,0.06666666666666667,0.021119652
2.2,0.3,0.027,1.2217305,4.0,3.0,0.1,0.028540837
2.2,0.3,0.027,1.2217305,4.0,3.0,0.13333333333333333,0.03395114
2.2,0.3,0.027,1.2217305,4.0,3.0,0.16666666666666666,0.037947174
2.2,0.3,0.027,1.2217305,4.0,3.0,0.2,0.04151467
2.2,0.3,0.027,1.2217305,4.0,3.0,0.23333333333333334,0.04508195
2.2,0.3,0.027,1.2217305,4.0,3.0,0.26666666666666666,0.049484856
2.2,0.3,0.027,1.2217305,4.0,3.0,0.3,0.05537786
2.2,0.3,0.027,1.2217305,4.0,3.0,0.3333333333333333,0.06309229
2.2,0.3,0.027,1.2217305,4.0,3.0,0.36666666666666664,0.073194176
2.2,0.3,0.027,1.2217305,4.0,3.0,0.4,0.08587236
2.2,0.3,0.027,1.2217305,4.0,3.0,0.43333333333333335,0.1012634
2.2,0.3,0.027,1.2217305,4.0,3.0,0.4666666666666667,0.119873814
2.2,0.3,0.027,1.2217305,4.0,3.0,0.5,0.1421701
2.2,0.3,0.027,1.2217305,4.0,3.0,0.5333333333333333,0.16683012
2.2,0.3,0.027,1.2217305,4.0,3.0,0.5666666666666667,0.19292311
2.2,0.3,0.027,1.2217305,4.0,3.0,0.6,0.2211416
2.2,0.3,0.027,1.2217305,4.0,3.0,0.6333333333333333,0.25143653
2.2,0.3,0.027,1.2217305,4.0,3.0,0.6666666666666666,0.28154966
2.2,0.3,0.027,1.2217305,4.0,3.0,0.7,0.3108181
2.2,0.3,0.027,1.2217305,4.0,3.0,0.7333333333333333,0.3403286
